Aeronet SDA coarse mode AOD Monthly data from East Asian stations


,Longitude,Latitude
Baengnyeong,124.630278,37.966111
Beijing_RADI,116.3786,40.0048
Chen-Kung_Univ,120.204664,22.993419
Dalanzadgad,104.419167,43.577222
EPA-NCU,121.185483,24.967533
Gwangju_GIST,126.843139,35.228278
Hong_Kong_Hok_Tsui,114.258,22.2097
Hong_Kong_PolyU,114.179722,22.303333
Lanzhou_City,103.8534,36.04805
Lulin,120.873611,23.468611
Minqin,102.959,38.607
NAM_CO,90.96245,30.772517
NCU_Taiwan,121.187508,24.967662
NUIST,118.71715,32.206483
Noto,137.136944,37.334444
Osaka,135.590633,34.650933
QOMS_CAS,86.948056,28.365
SACOL,104.137083,35.946
Taihu,120.215333,31.421
Taipei_CWB,121.53837,25.014683
XiangHe,116.9615,39.7536
Xinglong,117.578333,40.396389
Yeomsan-Myeon,126.303012,35.23666

,Baengnyeong,Beijing_RADI,Chen-Kung_Univ,Dalanzadgad,EPA-NCU,Gwangju_GIST,Hong_Kong_Hok_Tsui,Hong_Kong_PolyU,Lanzhou_City,Lulin,Minqin,NAM_CO,NCU_Taiwan,NUIST,Noto,Osaka,QOMS_CAS,SACOL,Taihu,Taipei_CWB,XiangHe,Xinglong,Yeomsan-Myeon
2010-01-15,,0.061210696844005,0.045836159568432,0.045757302021331,0.023873646226537,0.059614895016837,,0.038909430419758,0.209155783725835,0.005336199163457,,0.011891085604758,,0.109947051306775,,0.035111985976525,0.023743365446947,,,,0.091098097768661,,
2010-02-15,,0.126141178930487,0.08374315636903,0.088876039048444,0.027182844890892,0.061162641592402,,0.051849584461491,0.135079677542425,0.007924087419513,,,,0.11930723569294,,0.038839832314699,0.041427504517315,,0.087236461072295,0.088850093869133,0.115736350705925,,
2010-03-15,,0.177427598495459,0.05029977237098,0.102484625507818,0.072157265144057,0.180934438925154,0.11675405712405,0.141424480296263,0.244738881541866,0.011545292375373,,0.047224512682959,,0.347139665662375,,0.127289851083945,0.018390744794171,,0.272141363345382,0.085634160408572,0.141574100021826,,
2010-04-15,,0.194525682564903,0.065656992332231,0.043565613074893,0.122488312169253,0.090281537872786,0.072067197740185,0.115780439894352,,0.019156709486022,,0.050504380898425,0.34972372869025,0.282675282115031,,0.102373032693911,0.016003315147355,,0.261105059136771,0.122990142889762,0.16496181795613,,
2010-05-15,,0.223336290071556,0.06572708620222,0.033985566319726,0.105976772337813,0.11758489327196,0.07796731348343,0.111837637961098,,0.024019365502083,0.14395657385845,0.04752640539522,0.069806901886103,,,0.098524833679674,0.005625840950489,,0.17658155235208,0.130809467978121,0.230745098083114,,
2010-06-15,,0.077559973002486,0.038632035782638,,,0.029533860774756,0.050081748322712,0.046018441988182,,0.011716853100564,0.141560910502948,0.030745933006261,0.02844537133672,,,0.029584675961779,0.030788280519456,,0.069047625967903,0.06821335039204,0.084718133157658,,
2010-07-15,0.032169328406771,,0.0572657145241,,,0.027522328753683,0.062664024691744,0.051178483611842,,0.026016694244979,,0.024992477687214,0.055582336007189,,,0.038358881424443,,,0.157978616375008,,0.062111498697202,,
2010-08-15,0.040076994044655,,0.043330116391097,,,0.057713370288728,,0.072468735863873,,0.021172683412839,,0.034903089895501,0.031806535655258,,0.019109517116357,0.029481819926708,,0.085947212961709,0.084854631246942,,0.106540637615316,0.060286265839585,
2010-09-15,0.029667510868075,,0.029094081403198,,0.029449915652986,0.090011102189911,,0.056671627182406,,0.020485199807977,,0.030610082292822,0.028663411641698,,0.032149711076231,0.039358100695261,,0.057263635947861,0.078617893317836,,0.066581347825952,0.032692439875353,0.108272882249004
2010-10-15,0.045586298063705,,0.045253238327726,,0.028907474666606,0.045738364611231,,0.050383457626328,,0.009908622403853,,0.015082251858447,0.037492350682328,,0.027929645110297,0.024677307251591,0.012952369155955,0.058025871647289,,,0.0505897377068,0.027314815959056,0.017030146794558
2010-11-15,0.058226210577707,0.092625459271382,0.042550622015177,,0.051396349008774,,,0.056202614138447,,0.020330279804527,,0.00831493776862,0.05248559476174,,0.035700489393062,0.034111151606454,0.016539853615423,0.106408931838028,,,0.107168738877413,0.055976390443592,
2010-12-15,0.11003657360022,0.053874144333573,0.049187657168119,,0.073448474209141,,,0.07264574966747,,,,0.009039345226945,0.051612136276771,,0.054966902362633,0.036479393601337,,0.142332445217515,,,0.179982699359093,0.07974182657958,
